user1,password1,adopter
user2,password2,adopter
user3,password3,adopter
user4,password4,adopter
user5,password5,adopter
user6,password6,adopter
user7,password7,adopter
user8,password8,adopter
user9,password9,adopter
user10,password10,adopter
user11,password11,adopter
user12,password12,adopter
user13,password13,adopter
user14,password14,adopter
user15,password15,adopter
user16,password16,adopter
user17,password17,adopter
user18,password18,adopter
user19,password19,adopter
user20,password20,adopter
user21,password21,adopter
user22,password22,adopter
user23,password23,adopter
user24,password24,adopter
user25,password25,adopter
user26,password26,adopter
user27,password27,adopter
user28,password28,adopter
user29,password29,adopter
user30,password30,adopter
user31,password31,adopter
user32,password32,adopter
user33,password33,adopter
user34,password34,adopter
user35,password35,adopter
user36,password36,adopter
user37,password37,adopter
user38,password38,adopter
user39,password39,adopter
user40,password40,adopter
user41,password41,adopter
user42,password42,adopter
user43,password43,adopter
user44,password44,adopter
user45,password45,adopter
user46,password46,adopter
user47,password47,adopter
user48,password48,adopter
user49,password49,adopter
user50,password50,adopter
user51,password51,adopter
user52,password52,adopter
user53,password53,adopter
user54,password54,adopter
user55,password55,adopter
user56,password56,adopter
user57,password57,adopter
user58,password58,adopter
user59,password59,adopter
user60,password60,adopter
user61,password61,adopter
user62,password62,adopter
user63,password63,adopter
user64,password64,adopter
user65,password65,adopter
user66,password66,adopter
user67,password67,adopter
user68,password68,adopter
user69,password69,adopter
user70,password70,adopter
user71,password71,adopter
user72,password72,adopter
user73,password73,adopter
user74,password74,adopter
user75,password75,adopter
user76,password76,adopter
user77,password77,adopter
user78,password78,adopter
user79,password79,adopter
user80,password80,adopter
user81,password81,adopter
user82,password82,adopter
user83,password83,adopter
user84,password84,adopter
user85,password85,adopter
user86,password86,adopter
user87,password87,adopter
user88,password88,adopter
user89,password89,adopter
user90,password90,adopter
user91,password91,adopter
user92,password92,adopter
user93,password93,adopter
user94,password94,adopter
user95,password95,adopter
user96,password96,adopter
user97,password97,adopter
user98,password98,adopter
user99,password99,adopter
user100,password100,adopter
shelter1,pwd1,owner
shelter2,pwd2,owner
shelter3,pwd3,owner
