user1,password1,adopter
user2,password2,adopter
user3,password3,adopter
user4,password4,adopter
user5,password5,adopter
user6,password6,adopter
user7,password7,adopter
user8,password8,adopter
user9,password9,adopter
user10,password10,adopter
user11,password11,adopter
user12,password12,adopter
user13,password13,adopter
user14,password14,adopter
user15,password15,adopter
user16,password16,adopter
user17,password17,adopter
user18,password18,adopter
user19,password19,adopter
user20,password20,adopter
